Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
2008,A,21901,21901,1282.2201636079528,17.080530022530805
2009,A,26262,26262,1282.2201636079528,20.481661999529887
2010,A,35644,35644,1282.2201636079528,27.79865814908397
2011,A,59246,59246,1282.2201636079528,46.205793421070275
2012,A,62132,62132,1282.2201636079528,48.45657693072846
2013,A,88491,88491,1282.2201636079528,69.01388896505975
2014,A,92152,92152,1282.2201636079528,71.86909285586314
2015,A,110810,110810,1282.2201636079528,86.42041604477598
2016,A,136828,136828,1282.2201636079528,106.71178311140336
2017,A,149886,149886,1282.2201636079528,116.89568161075076
2018,A,179065,179065,1282.2201636079528,139.65230393518465
2019,A,206374,206374,1282.2201636079528,160.95051837221007
2020,A,365862,365862,1282.2201636079528,285.33477353103353
2021,A,404686,404686,1282.2201636079528,315.6135049859779
2022,A,3790,3790,1282.2201636079528,2.9558106381166045
1932,B,1582,1582,2947.544772010218,0.5367178863651595
1933,B,697,697,2947.544772010218,0.2364679941823743
1934,B,893,893,2947.544772010218,0.30296401550195157
1935,B,688,688,2947.544772010218,0.23341460544831208
1936,B,733,733,2947.544772010218,0.2486815491186232
1937,B,1660,1660,2947.544772010218,0.563180588727032
1938,B,2538,2538,2947.544772010218,0.8610556230055466
1939,B,1043,1043,2947.544772010218,0.35385382773632196
1940,B,656,656,2947.544772010218,0.2225581121716464
1941,B,1988,1988,2947.544772010218,0.6744596448128553
1942,B,3247,3247,2947.544772010218,1.1015948021666706
1943,B,1509,1509,2947.544772010218,0.5119515110777659
1944,B,1130,1130,2947.544772010218,0.38336991883225674
1945,B,540,540,2947.544772010218,0.18320332404373332
1946,B,1691,1691,2947.544772010218,0.5736978165888019
1947,B,1077,1077,2947.544772010218,0.36538885184277925
1948,B,137,137,2947.544772010218,0.04647936184072494
1949,B,1354,1354,2947.544772010218,0.4593653717689165
1950,B,221,221,2947.544772010218,0.07497765669197234
1951,B,2042,2042,2947.544772010218,0.6927799772172286
1952,B,1548,1548,2947.544772010218,0.5251828622587021
1953,B,992,992,2947.544772010218,0.33655129157663605
1954,B,171,171,2947.544772010218,0.058014385947182216
1955,B,932,932,2947.544772010218,0.3161953666828879
1956,B,390,390,2947.544772010218,0.13231351180936296
1957,B,370,370,2947.544772010218,0.12552820351144692
1958,B,750,750,2947.544772010218,0.25444906117185184
1959,B,1230,1230,2947.544772010218,0.417296460321837
1960,B,1906,1906,2947.544772010218,0.6466398807913994
1961,B,2907,2907,2947.544772010218,0.9862445611020977
1962,B,2050,2050,2947.544772010218,0.695494100536395
1963,B,1924,1924,2947.544772010218,0.6527466582595239
1964,B,2040,2040,2947.544772010218,0.692101446387437
1965,B,1276,1276,2947.544772010218,0.4329026694070439
1966,B,930,930,2947.544772010218,0.31551683585309626
1967,B,379,379,2947.544772010218,0.12858159224550914
1968,B,1047,1047,2947.544772010218,0.35521088939590517
1969,B,1191,1191,2947.544772010218,0.4040651091409007
1970,B,1689,1689,2947.544772010218,0.5730192857590103
1971,B,1377,1377,2947.544772010218,0.46716847631152
1972,B,2357,2357,2947.544772010218,0.7996485829094063
1973,B,2485,2485,2947.544772010218,0.8430745560160691
1974,B,3015,3015,2947.544772010218,1.0228852259108443
1975,B,3911,3911,2947.544772010218,1.3268670376574834
1976,B,2746,2746,2947.544772010218,0.9316228293038735
1977,B,2039,2039,2947.544772010218,0.6917621809725412
1978,B,1871,1871,2947.544772010218,0.6347655912700464
1979,B,2298,2298,2947.544772010218,0.779631923430554
1980,B,3928,3928,2947.544772010218,1.332634549710712
1981,B,4759,4759,2947.544772010218,1.6145641094891239
1982,B,4856,4856,2947.544772010218,1.6474728547340167
1983,B,4458,4458,2947.544772010218,1.5124452196054874
1984,B,4815,4815,2947.544772010218,1.6335629727232888
1985,B,4760,4760,2947.544772010218,1.6149033749040196
1986,B,4477,4477,2947.544772010218,1.5188912624885076
1987,B,3026,3026,2947.544772010218,1.0266171454746982
1988,B,4739,4739,2947.544772010218,1.6077788011912078
1989,B,4251,4251,2947.544772010218,1.4422172787220562
1990,B,4351,4351,2947.544772010218,1.4761438202116364
1991,B,4945,4945,2947.544772010218,1.677667476659743
1992,B,5421,5421,2947.544772010218,1.839157814150145
1993,B,5790,5790,2947.544772010218,1.9643467522466962
1994,B,5060,5060,2947.544772010218,1.7166829993727604
1995,B,7525,7525,2947.544772010218,2.5529722470909135
1996,B,7476,7476,2947.544772010218,2.536348241761019
1997,B,6156,6156,2947.544772010218,2.08851789409856
1998,B,8263,8263,2947.544772010218,2.8033501232840154
1999,B,14192,14192,2947.544772010218,4.814854768201228
2000,B,17653,17653,2947.544772010218,5.9890523691556
2001,B,14833,14833,2947.544772010218,5.0323238991494375
2002,B,15516,15516,2947.544772010218,5.264042177523271
2003,B,16544,16544,2947.544772010218,5.612807024036155
2004,B,22241,22241,2947.544772010218,7.545602092697542
2005,B,27991,27991,2947.544772010218,9.496378228348407
2006,B,35336,35336,2947.544772010218,11.988282700758075
2007,B,44639,44639,2947.544772010218,15.144468855533725
2008,B,46776,46776,2947.544772010218,15.869479047166054
2009,B,59699,59699,2947.544772010218,20.25380600386451
2010,B,61822,61822,2947.544772010218,20.9740664796883
2011,B,88827,88827,2947.544772010218,30.135929008949443
2012,B,101826,101826,2947.544772010218,34.54604013717998
2013,B,130033,130033,2947.544772010218,44.11569969514588
2014,B,149687,149687,2947.544772010218,50.78362215950798
2015,B,159341,159341,2947.544772010218,54.058890474912054
2016,B,183940,183940,2947.544772010218,62.404480415933904
2017,B,233721,233721,2947.544772010218,79.29345203486184
2018,B,298209,298209,2947.544772010218,101.17200011066235
2019,B,366600,366600,2947.544772010218,124.37470110080118
2020,B,649510,649510,2947.544772010218,220.35627962897266
2021,B,674377,674377,2947.544772010218,228.79279270118656
2022,B,11127,11127,2947.544772010218,3.775006271545594
1932,C,879,879,4364.636811697716,0.2013913271418555
1933,C,651,651,4364.636811697716,0.1491533037193947
1934,C,2104,2104,4364.636811697716,0.48205614596867347
1935,C,1571,1571,4364.636811697716,0.35993831051178043
1936,C,1190,1190,4364.636811697716,0.2726458240031946
1937,C,544,544,4364.636811697716,0.12463809097288896
1938,C,555,555,4364.636811697716,0.12715834648888488
1939,C,756,756,4364.636811697716,0.1732102881902648
1940,C,411,411,4364.636811697716,0.09416591064312015
1941,C,373,373,4364.636811697716,0.08545957340604335
1942,C,198,198,4364.636811697716,0.045364599287926494
1943,C,215,215,4364.636811697716,0.049259539630829276
1944,C,162,162,4364.636811697716,0.03711649032648531
1945,C,74,74,4364.636811697716,0.016954446198517985
1946,C,113,113,4364.636811697716,0.025889897573412597
1947,C,110,110,4364.636811697716,0.025202555159959165
1948,C,100,100,4364.636811697716,0.02291141378178106
1949,C,74,74,4364.636811697716,0.016954446198517985
1950,C,118,118,4364.636811697716,0.02703546826250165
1951,C,501,501,4364.636811697716,0.1147861830467231
1952,C,448,448,4364.636811697716,0.10264313374237914
1953,C,90,90,4364.636811697716,0.02062027240360295
1954,C,126,126,4364.636811697716,0.028868381365044132
1955,C,113,113,4364.636811697716,0.025889897573412597
1956,C,192,192,4364.636811697716,0.04398991446101963
1957,C,266,266,4364.636811697716,0.060944360659537615
1958,C,237,237,4364.636811697716,0.054300050662821106
1959,C,125,125,4364.636811697716,0.028639267227226324
1960,C,325,325,4364.636811697716,0.07446209479078844
1961,C,515,515,4364.636811697716,0.11799378097617245
1962,C,920,920,4364.636811697716,0.21078500679238574
1963,C,823,823,4364.636811697716,0.1885609354240581
1964,C,598,598,4364.636811697716,0.13701025441505074
1965,C,1251,1251,4364.636811697716,0.28662178641008107
1966,C,1189,1189,4364.636811697716,0.2724167098653768
1967,C,2087,2087,4364.636811697716,0.4781612056257707
1968,C,2669,2669,4364.636811697716,0.6115056338357364
1969,C,4437,4437,4364.636811697716,1.0165794294976256
1970,C,2818,2818,4364.636811697716,0.6456436403705902
1971,C,1523,1523,4364.636811697716,0.3489408318965255
1972,C,1296,1296,4364.636811697716,0.2969319226118825
1973,C,1643,1643,4364.636811697716,0.3764345284346628
1974,C,2070,2070,4364.636811697716,0.4742662652828679
1975,C,3464,3464,4364.636811697716,0.7936513734008959
1976,C,3700,3700,4364.636811697716,0.8477223099258991
1977,C,2467,2467,4364.636811697716,0.5652245779965387
1978,C,2381,2381,4364.636811697716,0.545520762144207
1979,C,2287,2287,4364.636811697716,0.5239840331893328
1980,C,2010,2010,4364.636811697716,0.4605194170137993
1981,C,1431,1431,4364.636811697716,0.327862331217287
1982,C,1459,1459,4364.636811697716,0.33427752707618563
1983,C,1352,1352,4364.636811697716,0.30976231432967993
1984,C,1346,1346,4364.636811697716,0.30838762950277304
1985,C,1009,1009,4364.636811697716,0.23117616505817087
1986,C,1096,1096,4364.636811697716,0.2511090950483204
1987,C,3745,3745,4364.636811697716,0.8580324461277007
1988,C,5574,5574,4364.636811697716,1.2770822041964762
1989,C,3179,3179,4364.636811697716,0.7283538441228199
1990,C,1787,1787,4364.636811697716,0.4094269642804275
1991,C,2372,2372,4364.636811697716,0.5434587349038467
1992,C,2182,2182,4364.636811697716,0.4999270487184627
1993,C,2372,2372,4364.636811697716,0.5434587349038467
1994,C,2593,2593,4364.636811697716,0.5940929593615829
1995,C,4324,4324,4364.636811697716,0.9906895319242129
1996,C,3356,3356,4364.636811697716,0.7689070465165724
1997,C,5126,5126,4364.636811697716,1.174439070454097
1998,C,8347,8347,4364.636811697716,1.9124157083652649
1999,C,14400,14400,4364.636811697716,3.2992435845764723
2000,C,18115,18115,4364.636811697716,4.150402606569639
2001,C,15763,15763,4364.636811697716,3.6115261544221484
2002,C,18008,18008,4364.636811697716,4.125887393823133
2003,C,18542,18542,4364.636811697716,4.248234343417844
2004,C,20712,20712,4364.636811697716,4.745412022482493
2005,C,27371,27371,4364.636811697716,6.271083066211293
2006,C,45569,45569,4364.636811697716,10.44050214621981
2007,C,56744,56744,4364.636811697716,13.000852636333844
2008,C,75216,75216,4364.636811697716,17.23304899010444
2009,C,90939,90939,4364.636811697716,20.835410579013878
2010,C,104294,104294,4364.636811697716,23.895229889570736
2011,C,134743,134743,4364.636811697716,30.871526271985253
2012,C,160130,160130,4364.636811697716,36.68804688876601
2013,C,171688,171688,4364.636811697716,39.336148093664264
2014,C,220457,220457,4364.636811697716,50.50981548090107
2015,C,211584,211584,4364.636811697716,48.476885736043634
2016,C,228074,228074,4364.636811697716,52.25497786865933
