Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1941,B,1988,12478,2947.544772010218,4.233353847069823
1942,B,3247,15725,2947.544772010218,5.334948649236494
1943,B,1509,17234,2947.544772010218,5.846900160314259
1944,B,1130,18364,2947.544772010218,6.230270079146516
1945,B,540,18904,2947.544772010218,6.413473403190249
1946,B,1691,20595,2947.544772010218,6.987171219779051
1947,B,1077,21672,2947.544772010218,7.352560071621831
1948,B,137,21809,2947.544772010218,7.399039433462556
1949,B,1354,23163,2947.544772010218,7.858404805231472
1950,B,221,23384,2947.544772010218,7.933382461923444
1951,B,2042,25426,2947.544772010218,8.626162439140673
1952,B,1548,26974,2947.544772010218,9.151345301399376
1953,B,992,27966,2947.544772010218,9.48789659297601
1954,B,171,28137,2947.544772010218,9.545910978923194
1955,B,932,29069,2947.544772010218,9.862106345606081
1956,B,390,29459,2947.544772010218,9.994419857415444
1957,B,370,29829,2947.544772010218,10.119948060926891
1958,B,750,30579,2947.544772010218,10.374397122098744
1959,B,1230,31809,2947.544772010218,10.79169358242058
1960,B,1906,33715,2947.544772010218,11.438333463211979
1961,B,2907,36622,2947.544772010218,12.424578024314076
1962,B,2050,38672,2947.544772010218,13.120072124850472
1963,B,1924,40596,2947.544772010218,13.772818783109996
1964,B,2040,42636,2947.544772010218,14.464920229497434
1965,B,1276,43912,2947.544772010218,14.897822898904478
1966,B,930,44842,2947.544772010218,15.213339734757573
1967,B,379,45221,2947.544772010218,15.341921327003082
1968,B,1047,46268,2947.544772010218,15.697132216398987
1969,B,1191,47459,2947.544772010218,16.10119732553989
1970,B,1689,49148,2947.544772010218,16.6742166112989
1971,B,1377,50525,2947.544772010218,17.14138508761042
1972,B,2357,52882,2947.544772010218,17.941033670519825
1973,B,2485,55367,2947.544772010218,18.784108226535896
1974,B,3015,58382,2947.544772010218,19.80699345244674
1975,B,3911,62293,2947.544772010218,21.133860490104222
1976,B,2746,65039,2947.544772010218,22.065483319408095
1977,B,2039,67078,2947.544772010218,22.757245500380638
1978,B,1871,68949,2947.544772010218,23.392011091650684
1979,B,2298,71247,2947.544772010218,24.171643015081237
1980,B,3928,75175,2947.544772010218,25.50427756479195
1981,B,4759,79934,2947.544772010218,27.11884167428107
1982,B,4856,84790,2947.544772010218,28.76631452901509
1983,B,4458,89248,2947.544772010218,30.278759748620576
1984,B,4815,94063,2947.544772010218,31.912322721343866
1985,B,4760,98823,2947.544772010218,33.52722609624789
1986,B,4477,103300,2947.544772010218,35.046117358736396
1987,B,3026,106326,2947.544772010218,36.07273450421109
1988,B,4739,111065,2947.544772010218,37.6805133054023
1989,B,4251,115316,2947.544772010218,39.122730584124355
1990,B,4351,119667,2947.544772010218,40.598874404335994
1991,B,4945,124612,2947.544772010218,42.27654188099574
1992,B,5421,130033,2947.544772010218,44.11569969514588
1993,B,5790,135823,2947.544772010218,46.080046447392576
1994,B,5060,140883,2947.544772010218,47.79672944676533
1995,B,7525,148408,2947.544772010218,50.34970169385625
1996,B,7476,155884,2947.544772010218,52.886049935617265
1997,B,6156,162040,2947.544772010218,54.97456782971583
1998,B,8263,170303,2947.544772010218,57.77791795299984
1999,B,14192,184495,2947.544772010218,62.59277272120107
2000,B,17653,202148,2947.544772010218,68.58182509035667
2001,B,14833,216981,2947.544772010218,73.6141489895061
2002,B,15516,232497,2947.544772010218,78.87819116702939
2003,B,16544,249041,2947.544772010218,84.49099819106554
2004,B,22241,271282,2947.544772010218,92.03660028376308
2005,B,27991,299273,2947.544772010218,101.53297851211148
2006,B,35336,334609,2947.544772010218,113.52126121286956
2007,B,44639,379248,2947.544772010218,128.6657300684033
2008,B,46776,426024,2947.544772010218,144.53520911556933
2009,B,59699,485723,2947.544772010218,164.78901511943386
2010,B,61822,547545,2947.544772010218,185.76308159912216
2011,B,88827,636372,2947.544772010218,215.8990106080716
2012,B,101826,738198,2947.544772010218,250.44505074525156
2013,B,130033,868231,2947.544772010218,294.56075044039744
2014,B,149687,1017918,2947.544772010218,345.34437259990545
2015,B,159341,1177259,2947.544772010218,399.4032630748175
2016,B,183940,1361199,2947.544772010218,461.80774349075136
2017,B,233721,1594920,2947.544772010218,541.1011955256132
2018,B,298209,1893129,2947.544772010218,642.2731956362755
2019,B,366600,2259729,2947.544772010218,766.6478967370767
2020,B,649510,2909239,2947.544772010218,987.0041763660494
2021,B,674377,3583616,2947.544772010218,1215.796969067236
2022,B,11127,3594743,2947.544772010218,1219.5719753387816
1932,C,879,879,4364.636811697716,0.2013913271418555
1933,C,651,1530,4364.636811697716,0.3505446308612502
1934,C,2104,3634,4364.636811697716,0.8326007768299237
1935,C,1571,5205,4364.636811697716,1.192539087341704
1936,C,1190,6395,4364.636811697716,1.4651849113448987
1937,C,544,6939,4364.636811697716,1.5898230023177877
1938,C,555,7494,4364.636811697716,1.7169813488066725
1939,C,756,8250,4364.636811697716,1.8901916369969374
1940,C,411,8661,4364.636811697716,1.9843575476400575
1941,C,373,9034,4364.636811697716,2.0698171210461007
1942,C,198,9232,4364.636811697716,2.1151817203340273
1943,C,215,9447,4364.636811697716,2.164441259964857
1944,C,162,9609,4364.636811697716,2.201557750291342
1945,C,74,9683,4364.636811697716,2.21851219648986
1946,C,113,9796,4364.636811697716,2.2444020940632723
1947,C,110,9906,4364.636811697716,2.269604649223232
1948,C,100,10006,4364.636811697716,2.2925160630050128
1949,C,74,10080,4364.636811697716,2.3094705092035306
1950,C,118,10198,4364.636811697716,2.3365059774660324
1951,C,501,10699,4364.636811697716,2.4512921605127556
1952,C,448,11147,4364.636811697716,2.5539352942551345
1953,C,90,11237,4364.636811697716,2.5745555666587374
1954,C,126,11363,4364.636811697716,2.6034239480237815
1955,C,113,11476,4364.636811697716,2.6293138455971943
